CallSign,ExerciseTime,Latitude,Longitude,Height
SIA395,6,2.6353,102.3007,10668.0
SIA367,6,2.5464,102.0335,9448.8
SIA941,6,2.699,102.9371,11887.2
SIA914,6,2.1461,102.2885,11887.2
SIA850,6,2.3315,102.2068,10668.0
SIA489,6,2.5597,102.296,9448.8
SIA989,6,2.7324,101.7684,9448.8
SIA415,6,2.4923,102.7647,11887.2
SIA42,6,3.2439,101.9243,9448.8
SIA992,6,3.1416,102.3923,11887.2
SIA865,6,2.5,102.1937,10668.0
SIA524,6,2.7968,102.4869,11887.2
SIA524,7,2.7971,102.4879,11887.2
SIA311,7,3.1022,102.1579,11887.2
SIA395,7,2.6348,102.3016,10668.0
SIA941,7,2.6981,102.9368,11887.2
SIA777,7,2.2852,103.2305,9448.8
SIA598,7,2.2005,102.5853,11887.2
SIA489,7,2.56,102.295,9448.8
SIA989,7,2.7314,101.7688,9448.8
SIA431,7,2.9755,102.02,9448.8
SIA992,7,3.141,102.3915,11887.2
SIA498,7,2.9539,102.1564,11887.2
SIA912,7,2.1632,103.5552,9448.8
SIA914,7,2.1467,102.2877,11887.2
SIA803,7,2.1481,102.4328,10668.0
SIA850,7,2.3325,102.2067,10668.0
SIA266,7,2.4345,101.7913,9448.8
SIA865,7,2.5,102.1947,10668.0
SIA42,7,3.2431,101.9249,9448.8
SIA367,7,2.5472,102.0328,9448.8
SIA415,7,2.4913,102.7649,11887.2
SIA865,8,2.5,102.1957,10668.0
SIA431,8,2.9751,102.0209,9448.8
SIA42,8,3.2422,101.9256,9448.8
SIA367,8,2.5481,102.0321,9448.8
SIA941,8,2.6971,102.9364,11887.2
SIA489,8,2.5604,102.294,9448.8
SIA415,8,2.4903,102.7651,11887.2
SIA598,8,2.2006,102.5843,11887.2
SIA803,8,2.149,102.4322,10668.0
SIA992,8,3.1404,102.3906,11887.2
SIA850,8,2.3336,102.2067,10668.0
SIA912,8,2.1633,103.5542,9448.8
SIA266,8,2.4339,101.7921,9448.8
SIA498,8,2.9536,102.1574,11887.2
SIA777,8,2.2848,103.2295,9448.8
SIA524,8,2.7974,102.4889,11887.2
SIA989,8,2.7304,101.7692,9448.8
SIA311,8,3.1013,102.1575,11887.2
SIA914,8,2.1473,102.2869,11887.2
SIA395,8,2.6343,102.3025,10668.0
SIA989,9,2.7294,101.7696,9448.8
SIA415,9,2.4893,102.7653,11887.2
SIA865,9,2.5,102.1968,10668.0
SIA42,9,3.2414,101.9263,9448.8
SIA524,9,2.7976,102.4899,11887.2
SIA489,9,2.5607,102.293,9448.8
SIA367,9,2.5489,102.0314,9448.8
SIA914,9,2.1479,102.286,11887.2
SIA850,9,2.3346,102.2066,10668.0
SIA431,9,2.9747,102.0219,9448.8
SIA395,9,2.6338,102.3034,10668.0
SIA992,9,3.1398,102.3898,11887.2
SIA598,9,2.2007,102.5833,11887.2
SIA912,9,2.1635,103.5531,9448.8
SIA266,9,2.4332,101.793,9448.8
SIA498,9,2.9534,102.1584,11887.2
SIA777,9,2.2845,103.2286,9448.8
SIA311,9,3.1003,102.1571,11887.2
SIA941,9,2.6961,102.9361,11887.2
SIA803,9,2.1498,102.4317,10668.0
SIA941,10,2.6951,102.9357,11887.2
SIA311,10,3.0994,102.1567,11887.2
SIA865,10,2.5,102.1978,10668.0
SIA850,10,2.3356,102.2066,10668.0
SIA803,10,2.1507,102.4311,10668.0
SIA777,10,2.2841,103.2276,9448.8
SIA367,10,2.5497,102.0308,9448.8
SIA912,10,2.1636,103.5521,9448.8
SIA489,10,2.5611,102.292,9448.8
SIA431,10,2.9744,102.0229,9448.8
SIA989,10,2.7284,101.77,9448.8
SIA598,10,2.2008,102.5823,11887.2
SIA415,10,2.4883,102.7655,11887.2
SIA914,10,2.1485,102.2852,11887.2
SIA395,10,2.6332,102.3043,10668.0
SIA524,10,2.7979,102.4909,11887.2
SIA42,10,3.2406,101.9269,9448.8
SIA992,10,3.1392,102.389,11887.2
SIA498,10,2.9531,102.1594,11887.2
SIA266,10,2.4326,101.7938,9448.8
SIA850,11,2.3367,102.2065,10668.0
SIA489,11,2.5615,102.291,9448.8
SIA992,11,3.1386,102.3881,11887.2
SIA912,11,2.1638,103.551,9448.8
SIA498,11,2.9528,102.1604,11887.2
SIA803,11,2.1516,102.4305,10668.0
SIA777,11,2.2837,103.2266,9448.8
SIA395,11,2.6327,102.3052,10668.0
SIA865,11,2.5,102.1989,10668.0
SIA311,11,3.0984,102.1562,11887.2
SIA524,11,2.7982,102.4919,11887.2
SIA266,11,2.4319,101.7946,9448.8
SIA941,11,2.6942,102.9354,11887.2
SIA367,11,2.5505,102.0301,9448.8
SIA914,11,2.1491,102.2843,11887.2
SIA431,11,2.974,102.0239,9448.8
SIA42,11,3.2398,101.9276,9448.8
SIA989,11,2.7274,101.7704,9448.8
SIA598,11,2.2009,102.5812,11887.2
SIA415,11,2.4873,102.7657,11887.2
SIA415,12,2.4862,102.7659,11887.2
SIA311,12,3.0975,102.1558,11887.2
SIA598,12,2.2011,102.5802,11887.2
SIA777,12,2.2833,103.2256,9448.8
SIA395,12,2.6322,102.3061,10668.0
SIA941,12,2.6932,102.9351,11887.2
SIA431,12,2.9736,102.0249,9448.8
SIA803,12,2.1525,102.43,10668.0
SIA498,12,2.9526,102.1614,11887.2
SIA914,12,2.1497,102.2835,11887.2
SIA266,12,2.4312,101.7955,9448.8
SIA524,12,2.7984,102.4929,11887.2
SIA850,12,2.3377,102.2064,10668.0
SIA912,12,2.1639,103.55,9448.8
SIA367,12,2.5513,102.0294,9448.8
SIA42,12,3.239,101.9283,9448.8
SIA865,12,2.5,102.1999,10668.0
SIA489,12,2.5618,102.29,9448.8
SIA992,12,3.138,102.3873,11887.2
SIA989,12,2.7265,101.7708,9448.8
SIA992,13,3.1374,102.3864,11887.2
SIA395,13,2.6317,102.307,10668.0
SIA803,13,2.1533,102.4294,10668.0
SIA850,13,2.3388,102.2064,10668.0
SIA865,13,2.5,102.201,10668.0
SIA431,13,2.9732,102.0259,9448.8
SIA489,13,2.5622,102.289,9448.8
SIA42,13,3.2381,101.9289,9448.8
SIA311,13,3.0966,102.1554,11887.2
SIA524,13,2.7987,102.4939,11887.2
SIA266,13,2.4306,101.7963,9448.8
SIA941,13,2.6922,102.9347,11887.2
SIA415,13,2.4852,102.7661,11887.2
SIA498,13,2.9523,102.1624,11887.2
SIA777,13,2.2829,103.2246,9448.8
SIA914,13,2.1504,102.2827,11887.2
SIA598,13,2.2012,102.5792,11887.2
SIA367,13,2.5521,102.0287,9448.8
SIA989,13,2.7255,101.7712,9448.8
SIA912,13,2.1641,103.5489,9448.8
SIA431,14,2.9729,102.0269,9448.8
SIA42,14,3.2373,101.9296,9448.8
SIA415,14,2.4842,102.7663,11887.2
SIA311,14,3.0956,102.155,11887.2
SIA777,14,2.2825,103.2236,9448.8
SIA395,14,2.6312,102.3079,10668.0
SIA266,14,2.4299,101.7971,9448.8
SIA498,14,2.952,102.1634,11887.2
SIA992,14,3.1368,102.3856,11887.2
SIA524,14,2.799,102.4949,11887.2
SIA914,14,2.151,102.2818,11887.2
SIA865,14,2.5,102.202,10668.0
SIA989,14,2.7245,101.7715,9448.8
SIA850,14,2.3398,102.2063,10668.0
SIA598,14,2.2013,102.5781,11887.2
SIA941,14,2.6912,102.9344,11887.2
SIA912,14,2.1642,103.5479,9448.8
SIA803,14,2.1542,102.4288,10668.0
SIA367,14,2.5529,102.028,9448.8
SIA489,14,2.5626,102.288,9448.8
SIA42,15,3.2365,101.9303,9448.8
SIA266,15,2.4293,101.798,9448.8
SIA912,15,2.1644,103.5468,9448.8
SIA598,15,2.2014,102.5771,11887.2
SIA489,15,2.5629,102.287,9448.8
SIA989,15,2.7235,101.7719,9448.8
SIA311,15,3.0947,102.1545,11887.2
SIA415,15,2.4832,102.7665,11887.2
SIA395,15,2.6306,102.3088,10668.0
SIA498,15,2.9518,102.1644,11887.2
SIA803,15,2.1551,102.4283,10668.0
SIA850,15,2.3408,102.2063,10668.0
SIA914,15,2.1516,102.281,11887.2
SIA992,15,3.1361,102.3848,11887.2
SIA431,15,2.9725,102.0279,9448.8
SIA941,15,2.6902,102.9341,11887.2
SIA865,15,2.5,102.203,10668.0
SIA777,15,2.2821,103.2227,9448.8
SIA367,15,2.5537,102.0274,9448.8
SIA524,15,2.7992,102.4959,11887.2
SIA42,16,3.2357,101.9309,9448.8
SIA803,16,2.156,102.4277,10668.0
SIA266,16,2.4286,101.7988,9448.8
SIA524,16,2.7995,102.4969,11887.2
SIA850,16,2.3419,102.2062,10668.0
SIA395,16,2.6301,102.3097,10668.0
SIA498,16,2.9515,102.1654,11887.2
SIA992,16,3.1355,102.3839,11887.2
SIA989,16,2.7225,101.7723,9448.8
SIA598,16,2.2015,102.5761,11887.2
SIA914,16,2.1522,102.2802,11887.2
SIA311,16,3.0937,102.1541,11887.2
SIA941,16,2.6893,102.9337,11887.2
SIA367,16,2.5546,102.0267,9448.8
SIA777,16,2.2817,103.2217,9448.8
SIA865,16,2.5,102.2041,10668.0
SIA912,16,2.1645,103.5458,9448.8
SIA431,16,2.9721,102.0289,9448.8
SIA489,16,2.5633,102.286,9448.8
SIA415,16,2.4822,102.7667,11887.2
SIA415,17,2.4812,102.7669,11887.2
SIA777,17,2.2813,103.2207,9448.8
SIA498,17,2.9512,102.1664,11887.2
SIA803,17,2.1568,102.4271,10668.0
SIA914,17,2.1528,102.2793,11887.2
SIA598,17,2.2016,102.5751,11887.2
SIA524,17,2.7998,102.4979,11887.2
SIA850,17,2.3429,102.2062,10668.0
SIA865,17,2.5,102.2051,10668.0
SIA311,17,3.0928,102.1537,11887.2
SIA42,17,3.2348,101.9316,9448.8
SIA489,17,2.5636,102.285,9448.8
SIA431,17,2.9717,102.0299,9448.8
SIA992,17,3.1349,102.3831,11887.2
SIA395,17,2.6296,102.3106,10668.0
SIA266,17,2.428,101.7997,9448.8
SIA941,17,2.6883,102.9334,11887.2
SIA912,17,2.1647,103.5447,9448.8
SIA367,17,2.5554,102.026,9448.8
SIA989,17,2.7216,101.7727,9448.8
SIA850,18,2.3439,102.2061,10668.0
SIA914,18,2.1534,102.2785,11887.2
SIA912,18,2.1648,103.5437,9448.8
